account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300045,Z3-74(5),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.1,0.75,0.36,0.17,0.13,0.11,0.8,0.3,0.36,0.35,3.04,1.76,0.31,0.54,0.52,0.33,0.41,0.35,0.33,0.33,0.62,0.53,0.33,0.33,0.32,0.32,0.32,0.62,0.48,0.31,0.31
4300046,Z3-74(6),L4,Zone_03_(A),D-74 Building Bulk Meter,Residential (Apart),Jan-26,2026,1.5,1.27,0.52,0.19,0.18,0.17,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.17,0.12,0.14,0.13,0.13,0.13,0.14,0.12,0.14,0.13,0.14,0.12,0.14,0.12,0.14,0.11,0.14
4300176,D-75 Building Bulk Meter,L3,Zone_03_(A),ZONE 3A BULK (#4300343),D_Building_Bulk,Jan-26,2026,2.14,3.21,3.46,1.56,1.98,2.15,2.26,2.29,2.06,1.99,2.43,0,4.72,2.65,2.16,3.16,1.62,2.08,6.74,1.69,2.15,0,4.86,2.17,2.57,0,3.78,1.84,1.98,2.62,1.95
4300145,D 75-Building Common,L4,Zone_03_(A),D-75 Building Bulk Meter,D_Building_Common,Jan-26,2026,0.04,0.02,0.39,0.04,0.04,0.32,0.02,0.05,0.01,0.1,0.03,0.51,0.06,0.06,0.27,0.04,0.17,0.12,0.07,0.11,0.03,0.01,0.03,0.02,0.48,0.09,0.06,0.08,0.04,0.25,0.04
4300036,Z3-75(1),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300122,Z3-75(2),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.21,0.36,0.24,0.2,0.41,0.19,0.24,0.29,0.25,0.1,0.22,0.25,0.12,0.27,0.28,0.13,0.22,0.38,0.16,0.13,0.1,0.1,0.18,0.65,0.4,0.45,0.3,0.27,0.64,0.22,0.49
4300037,Z3-75(3),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.38,0.33,0.5,0.19,0.36,0.47,0.4,0.21,0.34,0.36,0.26,0.41,0.38,0.47,0.11,0.25,0.17,0.28,0.31,0.33,0.3,0.43,0.32,0.45,0.35,0.24,0.48,0.39,0.38,0.42,0.37
4300006,Z3-75(4),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Jan-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0
4300055,Z3-75(5),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.55,1.18,0.6,0.47,0.59,0.54,0.97,0.83,0.37,0.47,1,0.57,0.48,0.92,0.55,1.48,0.43,0.56,0.38,0.44,0.84,1.1,0.4,0.34,0.56,0.23,0.3,0.48,0.3,1.1,0.43
4300063,Z3-75(6),L4,Zone_03_(A),D-75 Building Bulk Meter,Residential (Apart),Jan-26,2026,0.9,1.23,1.58,0.63,0.57,0.63,0.62,0.89,1.09,0.96,0.9,0.87,1.07,0.92,0.94,1.24,0.63,0.73,0.65,0.67,0.85,0.88,1.39,0.72,0.78,0.96,0.66,0.61,0.61,0.63,0.61
