account_number,meter_name,label,zone,parent_meter,type,month,year,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31
4300126,D 52-Building Common,L4,Zone_03_(B),D-52 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.02,0.01,0.02,0.02,0.01,0.04,0,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300116,Z3-52(1A),L4,Zone_03_(B),D-52 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.05,0.03,0.03,0.09,0.66,0.43,0.52,0.46,0.25,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300069,Z3-52(2A),L4,Zone_03_(B),D-52 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300042,Z3-52(3A),L4,Zone_03_(B),D-52 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.19,0.16,0.2,0.25,0.18,0.45,0.16,0.18,0.26,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300029,Z3-52(4A),L4,Zone_03_(B),D-52 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.13,0.08,0.12,0.29,0.1,0.08,0.06,0.05,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300056,Z3-52(5),L4,Zone_03_(B),D-52 Building Bulk Meter,Residential (Apart),Mar-26,2026,0,0,0,0,0.37,0,0.23,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300008,Z3-52(6),L4,Zone_03_(B),D-52 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.2,0.19,0.81,0.2,0.21,0.2,0.23,0.2,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300311,D-53 Building Bulk Meter,L3,Zone_03_(B),ZONE 3B BULK (#4300344),D_Building_Bulk,Mar-26,2026,2.38,2.19,2.85,1.83,2.42,2,2.23,2.29,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300201,D 53-Building Common,L4,Zone_03_(B),D-53 Building Bulk Meter,D_Building_Common,Mar-26,2026,0.02,0,0,0.01,0.01,0,0,0.05,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300210,Z3-53(1A),L4,Zone_03_(B),D-53 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.42,0.11,0.48,0.07,0.04,0.23,0.2,0.51,0.28,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300211,Z3-53(1B),L4,Zone_03_(B),D-53 Building Bulk Meter,Residential (Apart),Mar-26,2026,0.5,0.34,0.92,0.38,0.19,0.03,0.22,0.16,0.27,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
